path,label,mask_code,gender_code,age_code
000304_female_Asian_51/mask5.jpg,4,0,1,1
000304_female_Asian_51/mask2.jpg,4,0,1,1
000304_female_Asian_51/mask1.jpg,4,0,1,1
000304_female_Asian_51/incorrect_mask.jpg,10,1,1,1
000304_female_Asian_51/normal.jpg,16,2,1,1
000304_female_Asian_51/mask3.jpg,4,0,1,1
000304_female_Asian_51/mask4.jpg,4,0,1,1
000595_male_Asian_56/mask5.jpg,1,0,0,1
000595_male_Asian_56/mask2.jpg,1,0,0,1
000595_male_Asian_56/mask1.jpg,1,0,0,1
000595_male_Asian_56/incorrect_mask.jpg,7,1,0,1
000595_male_Asian_56/normal.jpg,13,2,0,1
000595_male_Asian_56/mask3.jpg,1,0,0,1
000595_male_Asian_56/mask4.jpg,1,0,0,1
001289_female_Asian_23/mask5.jpg,3,0,1,0
001289_female_Asian_23/mask2.jpg,3,0,1,0
001289_female_Asian_23/mask1.jpg,3,0,1,0
001289_female_Asian_23/incorrect_mask.jpg,9,1,1,0
001289_female_Asian_23/normal.jpg,15,2,1,0
001289_female_Asian_23/mask3.jpg,3,0,1,0
001289_female_Asian_23/mask4.jpg,3,0,1,0
003055_female_Asian_20/mask5.jpg,3,0,1,0
003055_female_Asian_20/mask2.jpg,3,0,1,0
003055_female_Asian_20/mask1.jpg,3,0,1,0
003055_female_Asian_20/incorrect_mask.jpg,9,1,1,0
003055_female_Asian_20/normal.jpg,15,2,1,0
003055_female_Asian_20/mask3.jpg,3,0,1,0
003055_female_Asian_20/mask4.jpg,3,0,1,0
001225_male_Asian_23/mask5.jpg,0,0,0,0
001225_male_Asian_23/mask2.jpg,0,0,0,0
001225_male_Asian_23/mask1.jpg,0,0,0,0
001225_male_Asian_23/incorrect_mask.jpg,6,1,0,0
001225_male_Asian_23/normal.jpg,12,2,0,0
001225_male_Asian_23/mask3.jpg,0,0,0,0
001225_male_Asian_23/mask4.jpg,0,0,0,0
003378_female_Asian_19/mask5.jpg,3,0,1,0
003378_female_Asian_19/mask2.jpg,3,0,1,0
003378_female_Asian_19/mask1.jpg,3,0,1,0
003378_female_Asian_19/incorrect_mask.jpg,9,1,1,0
003378_female_Asian_19/normal.jpg,15,2,1,0
003378_female_Asian_19/mask3.jpg,3,0,1,0
003378_female_Asian_19/mask4.jpg,3,0,1,0
001601_female_Asian_50/mask5.jpg,4,0,1,1
001601_female_Asian_50/mask2.jpg,4,0,1,1
001601_female_Asian_50/mask1.jpg,4,0,1,1
001601_female_Asian_50/incorrect_mask.jpg,10,1,1,1
001601_female_Asian_50/normal.jpg,16,2,1,1
001601_female_Asian_50/mask3.jpg,4,0,1,1
001601_female_Asian_50/mask4.jpg,4,0,1,1
000693_female_Asian_54/mask5.jpg,4,0,1,1
000693_female_Asian_54/mask2.jpg,4,0,1,1
000693_female_Asian_54/mask1.jpg,4,0,1,1
000693_female_Asian_54/incorrect_mask.jpg,10,1,1,1
000693_female_Asian_54/normal.jpg,16,2,1,1
000693_female_Asian_54/mask3.jpg,4,0,1,1
000693_female_Asian_54/mask4.jpg,4,0,1,1
004421_male_Asian_30/mask5.jpg,1,0,0,1
004421_male_Asian_30/mask2.jpg,1,0,0,1
004421_male_Asian_30/mask1.jpg,1,0,0,1
004421_male_Asian_30/incorrect_mask.jpg,7,1,0,1
